ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
247,OXYGEN UPTAKE SLOW COMPONENT AND THE EFFICIENCY OF RESISTANCE EXERCISES,"as V_O2sc increases in a prolonged constant-load test at LT intensity, work efficiency in resistance exercises such as HS should be reduced, and therefore, it would be plausible to propose a causal inverse relationship between the V_O2sc, energy expended (EE), and mechanical efficiency",main effect,"A significant slight and sustained increases of EE was identified (F6, 108 = 10.54, p , 0.001, h2 p = 0.369, SP = 1)",,,,,,6,108,10.54,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
248,CARDIOVASCULAR EFFECTS OF COMPRESSION GARMENTS DURING UNCOMPENSABLE HEAT STRESS,"by augmenting venous return from the lower extremities, the use of CGs would preserve intravascular volume leading to a lower HR while working in a hot environment simulating fire suppression.",difference of means,There were no differences in HR rise between the 2 conditions (p = 0.36),,,p = 0.36,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
249,HOW TO SERVE FASTER IN TENNIS: THE INFLUENCE OF AN ALTERED FOCUS OF ATTENTION AND AUGMENTED FEEDBACK ON SERVICE SPEED IN ELITE PLAYERS,"an immediate performance-enhancing effect was expected for EF, AF, and AF + EF compared to CON.",main effect,"Repeated-measures ANOVA revealed a significant main effect of “condition” (Figure 2A; F4,36 = 5.54, h2 p = 0.38; p < 0.001)",,,,,,4,36,5.54,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
250,POSTACTIVATION POTENTIATION IMPROVES ACUTE RESISTANCE EXERCISE PERFORMANCE AND MUSCULAR FORCE IN TRAINED MEN,We hypothesized that PAP would increase acute total volume in resistance exercise and force during MVIC.,difference of means,"Total repetitions were greater in the PAP condition (56.2 6 17.3 repetitions [CI 95% = 43.8–68.6 repetitions]) compared with the No-PAP condition (48.8 6 14.5 repetitions [CI 95% = 38.4–59.2 repetitions]), and effect sizes ranged from small to medium (d = 0.46).",,,p = 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
251,Exploring the Utility of Performing a Down Set as a Postactivation Potentiation Strategy,We hypothesized that there would be no increase in concentric velocity during the down sets because of accumulated fatigue from working sets.,difference of means,"There was no statistical difference (t(11) 5 0.852, p 5 0.412, Cohen’s d 5 0.246) for working-set MCVs between the DS condition (0.621 6 0.116 m·s21) and the NDS condition (0.636 6 0.129 m·s21).",11,0.852,p = 0.412,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
252,Postactivation Potentiation Effect of Heavy Sled Towing on Subsequent Sprints,heavy sled-towing loads between 40 and 50% Vdec will significantly improve peak post sled-towing sprint times compared with peak baseline sprint times.,difference of means,"The results of a one-tailed, paired samples t-test indicted a mean difference between peak baseline sprint times and peak post sled-towing sprint times (p < 0.001, observed power 5 0.99). A Cohen’s d = 0.92 indicated a moderate to large magnitude of effect size,",,,p < 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
253,"Physiological Impact of a Single Serving Slow Absorption Carbohydrate on Metabolic, Hemodynamic, and Performance Markers in Endurance Athletes During a Bout of Exercise",the modified starch would result in a superior high-intensity TTF performance after a 3-hour treadmill run through the maintenance of blood glucose.,main effect,"There were no significant differences between the trials for the TTF at 110% V̇O2max (F = 156.16 ± 35.5, S = 223.7 ± 42.9, W = 161.1 ± 21.4 seconds, p = 0.18; ES = 0.54; 95% CI, 139.4–221.2).",,,,,,,,,p = 0.18,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
254,Stretch-Shortening Cycle Potentiation and Resistance Training-Induced Changes in Walking Economy/Ease and Activity-Related Energy Expenditure in Older Women,"It is hypothesized that subjects with low to moderate baseline SSCP will increase SSCP and AEE to a

greater extent than those with higher baseline SSCP.",interaction effect,Changes in SSCP (h2p 5 0.250) and AEE (h2p 5 0.119) displayed the only time-by-group interactions (SSCP h2p 5 0.205 and AEE h2p 5 0.067).,,,,,,,,,p < 0.02,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
255,Electromyographical Differences Between the Hyperextension and Reverse-Hyperextension,"It was hypothesized that peak and mean EMG would be greater overall in the

RHE compared with the HE due to there being a greater lever length.",difference of means,"For all muscle groups, peak EMG during the extension phase was significantly greater activation during the RHE, with moderate magnitudes (p # 0.024; g $ 0.95; ES 5 107.3 6 37.9%, GMax 5 49.3 6 37.5%, and BF 5 58.8 6 21.7%) compared with HE (ES573.1625.4%, GMax518.1613.1%, and BF5 38.7 6 18.6%).",,,p < 0.024,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
256,Evaluation of High-Intensity Interval Training and Beta-Alanine Supplementation on Efficiency of Electrical Activity and Electromyographic Fatigue Threshold,"We have hypothesized that EMGFT or work rate at which an individual could theoretically sustain for a prolonged duration without neuromuscular evidence of fatigue could be improved with anaerobic training or aerobic ergogenic supplements, such as HIIT and BA, respectively.",interaction effect,"Two-way mixed factorial results for EMGFT indicated there was no significant interaction for treatment group x time (F4,76 = 1.346; p = 0.26; effect size: partial eta-squared (h2p 50.066)",,,,,,4,76,1.346,p = 0.26,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
257,ACUTE EFFECTS OF BALLISTIC VS. PASSIVE STATIC STRETCHING INVOLVED IN A PREMATCH WARM-UP ON VERTICAL JUMP AND LINEAR SPRINT PERFORMANCE IN SOCCER PLAYERS,that stretching included in soccer warm-up can influence the jump and sprint performance,main effect,"With respect of the jump height in CMJ (ES = 0.43; 0.62; 20.31; 0.88), no significant differences were found in any of the groups or based on the type of stretching included in the warm-up",,,,,,,,,not reported,standardised,no,no,no,,Yes,No,No,No,standardised,No,,,
258,"Bone Mineral Density Differences Across Female Olympic Lifters, Power Lifters, and Soccer Players",Olympic-style lifters and PL have a greater lumbar spine BMD compared with soccer players (SP) because both lifting sports require high-impact mechanical loading at the lumbar spine.,difference of means,OL or PL did not have more bone mineral density than soccer players (p > 0.05). No ES or CI reported,,,p > 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
259,Comparision of Low and High Volume of Resistance Training on Body Fat and Blood Biomarkers in Untrained Older Women: A Randomized Clinical Trial,a higher RT volume would promote greater improvements in these variables.,interaction effect,A group vs. time interaction (p < 0.05) revealed the effectiveness of high volume of RT for the improvement of all variables analyzed,,,,,,,,,p < 0.05,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
260,Effects of Cluster Set Configuration on Mechanical Performance and Neuromuscular Activity,"the more frequent the number of intraset rests, the greater the strength, velocity, and power values and the lower the neuromuscular markers

of fatigue.",main effect,"Significant differences between protocols were observed for all variables analyzed, except for RMS-TB and MDF-PM. The CS configurations (i.e., CS4 and CS2) showed higher MPF values during the entire session compared with TRDs.",,,,,,,,,p < 0.05,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
261,Higher Peak Fat Oxidation During Rowing vs. Cycling in Active Men and Women,"It was predicted that rowing would elicit significantly higher FOx vs. CHOOx at all intensities, similar to prior work (20).",difference of means,"there was a main effect of mode (p= 0.03), Peak FOx was significantly higher in rowing vs. cycling (0.23 6 0.09 g·min21 [95% CI 5 0.20–0.27 g·min21] vs. 0.18 6 0.07 g·min21 [95% CI 5 0.15–0.22 g·min21]), (t(21) 5 2.84, p 5 0.01, d 5 0.65),",21,2.84,p = 0.01,standardised,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,Yes,Yes,standardised,"yes, only for the unstandardised",,,
262,INFLUENCE OF CONSTANT TORQUE STRETCHING AT DIFFERENT STRETCHING INTENSITIES ON FLEXIBILITY AND MECHANICAL PROPERTIES OF PLANTAR FLEXORS,higher intensity CTS would induce greater increases in maximal ROM and greater decreases in MTU stiffness.,interaction effect,"For maximal ROM, a significant 2-way interaction (stretching 3 time) was found (p < 0.01, h2p = 0.64).",,,,,,,,,p < 0.01,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
263,INFLUENCE OF DIFFERENT TREADMILL INCLINATIONS ON V_ O2MAX AND VENTILATORY THRESHOLDS DURING MAXIMAL RAMP PROTOCOLS,"both maximal and submaximal respiratory responses would be affected by treadmill inclination, due to variations in peripheral fatigue

during CPETs.",main effect,"Table 1 presents total duration of CPETs, maximal heart rate (HRmax), V_ O2max, VT1, and VT2 (with corresponding speeds andV_ O2). Although test durations were shorter when treadmill inclination increased, no difference was detected for V_ O2max or HRmax",,,,,,,,,p = 0.76,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
264,"Sex Comparison of Knee Extensor Size, Strength And Fatigue Adaptation to Sprint Interval Training","12 weeks cycling SIT would promote knee extensor hypertrophy, increased torque and fatigue resistance. Based on the limited available data indicating larger gains in type IIx fibre CSA in females than males, females were hypothesised to have a greater hypertrophic adaptation compared with males",interaction effect,"Analysis of leg lean mass and thigh lean mass from DXA scans showed no significant changes after training. However, the more detailed analysis of CSA Q from MRI showed a significant increase of 3.25 cm 2 after SIT ( p = 0.023), with both males and females increasing CSAQ similarly after training (sex x time interaction: p=0.140",,,,,,,,,p = 0.140,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
265,Moderate Load Resisted Sprints Do Not Improve Subsequent Sprint Performance in Varsity Level Sprinters,"A small, but meaningful, change in sprint performance was expected following the moderate load (~45% body mass sled equivalent load) resisted sprint intervention, as recent work has shown improvements in sprint performance following similar loads.",main effect,"No significant changes in sprint times over 0-5 m (Δ URS = 177 -0.003 s ± 0.03 s, RST Δ = 0.0008 s ± 0.03 s, p=0.63)",,,,,,,,,p = 0.33,unstandardised,no,no,no,,Yes,Yes,No,No,unstandardised,No,,,
266,"HIGH- VS. LOW-INTENSITY FATIGUING ECCENTRIC EXERCISE ON MUSCLE THICKNESS, STRENGTH, AND BLOOD FLOW",we hypothesized that muscle thickness and muscle blood flow would increase to a greater extent as a result of the 40 vs. 80% intensity eccentric exercise.,interaction effect,"There was no significant (p = 0.152, h2p = 0.118) Intensity 3 Time interaction",,,,,,,,,p = 0.152,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
267,DOES INTRA-ABDOMINAL PRESSURE HAVE A CAUSAL EFFECT ON MUSCLE STRENGTH OF HIP AND KNEE JOINTS?,"hypothesize that IAP has a causal effect on muscle strength, at least of hip extensor and thereby an increase in IAP leads to an enhancement of muscle strength of hip extensor",main effect,"There was no significant main effect in the maximal torque of hip flexor (F = 1.972, p = 0.155, partial h2 = 0.104)",,,,,,1,17,1.972,P = 0.155,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
